origins,religions,quotes,sibling_names,nicknames,gender,pronunciation,popularity,aliases,similar_names,id,name,siblings,similar,alias,scrollPaneWidth,known_siblings,affiliations,Svara, punggung,scrollPane_0,scrollPane_1
[],[],[],[],[],,,,[],[],298396,Naeman,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Happiness, Delight, Comfort, Pleasure', 'description': None}]",[],[],[],[],Feminine,,,[],[],298397,Naemat,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'blessing, bountiful, pleasing', 'description': None}]",[],[],[],[],Feminine,nay-MAH,,[],[],298395,Naemah,,,,,,,,,,
"[{'origin': 'Hawaiian', 'meanings': 'a beautiful flower', 'description': None}]",[],[],[],[],Feminine,na-EN-ae,,[],[],298400,Naenae,,,,,,,,,,
"[{'origin': 'Greek', 'meanings': 'lament', 'description': 'Funeral lament or dirge song among ancient Greeks.'}]",[],[],[],[],Feminine,NAY-nee-ah,,[],[],298401,Naenia,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'Pleasantness, sweetness', 'description': None}]",[],[],[],"['Neta', 'Nami', 'Naama']",Feminine,nay-ee-mee,,[],"['Naomi', 'Noemi', 'Nemesis', 'Nema', 'Nima']",298398,Naemi,,,,,,,,,,
"[{'origin': 'Hawaiian', 'meanings': 'beautiful', 'description': None}]",[],[],[],[],Feminine,NY-nah,,[],"['Naenae', 'Naenae', 'Naenae', 'Naenae']",298399,Naena,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Pleasant, Delightful, Felicitous', 'description': None}, {'origin': 'Urdu', 'meanings': 'Comforting, Blissful', 'description': None}]",[],[],[],[],Feminine,nay-ma,,[],"['Naema', 'Naima', 'Nema', 'Naeema']",298394,Naema,,,,,,,,,,
"[{'origin': 'Aztec', 'meanings': 'one who can move water', 'description': None}]",[],[],[],[],Feminine,nay-oh-LEE-ah,,[],[],298402,Naeolyiah,,,,,,,,,,
"[{'origin': 'French', 'meanings': 'Pleasant', 'description': None}, {'origin': 'Hebrew', 'meanings': 'Beautiful, Devoted to God', 'description': None}]",['Christian'],[],"['Aaliyah', 'Elijah', 'Isabella', 'Benjamin', 'Mia', 'Alexander', 'Emma', 'Ethan']",[],Feminine,nay-OH-mee,78,[],"['Naomi', 'Noemie', 'Noemi', 'Naomie', 'Naomy', 'Naoimi', ""Na'oimh""]",298404,Naeomie,,,,,,,,,,
"[{'origin': 'American', 'meanings': 'He who is strong', 'description': 'This name is derived from the Native American language and is commonly used among African-American communities.'}]",[],[],[],[],Masculine,Nae-Kwon,,[],[],298406,Naequan,,,,,,,,,,
"[{'origin': 'Korean', 'meanings': 'Wings', 'description': 'It is used as a symbol of freedom and hope.'}]",[],[],[],[],Unisex,nah-oh-ree,78,[],"['Nari', 'Nara', 'Noe', 'Nami', 'Naya', 'Nadia', 'Nina', 'Nova', 'Nala', 'Noa']",298405,Naeori,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'young, fair child', 'description': 'Originally a variant of Noora'}]",[],[],[],[],Feminine,nay-ee-ruh,,[],[],298407,Naera,,,,,,,,,,
[],[],[],,[],Masculine,,,,,298409,Naerebout,[],[],[],,,,,,,
