id,category
1,
2,Egyptian
3,Korean Christian
4,French British English Russian Australian Christian
5,Danish Islamic/Muslim
6,French Christian
7,Vietnamese
8,Persian
9,Slavic
10,Aramaic
11,Korean
12,Unique
13,Swedish Christian
14,Christian Celtic
15,Greek Christian
16,Welsh Christian
17,Turkish Christian
18,Dutch
19,Indian
20,Vietnamese Christian
21,African
22,Christian Latin
23,Latin
24,Sanskrit
25,Australian Vietnamese
26,English
27,Native American
28,Greek Islamic/Muslim
29,Irish
30,Dutch Christian
31,Greek
32,Chinese
33,Danish Christian
34,Arabic
35,Christian Old-norse
36,Danish
37,Finnish
38,Indian Chinese Australian Islamic/Muslim Telugu
39,Indian African Chinese Korean Hindu Tamil Telugu Kannada
40,Polish
41,Italian
42,Christian
43,French
44,Christian Gaelic
45,Swedish
46,Christian Native American
47,Indian Hindu Tamil Goddess Radha
48,Spanish
49,Hawaiian
50,Norwegian
51,Italian Christian
52,African Christian
53,Hebrew Christian
54,English Christian
55,Gaelic
56,Arabic Christian
57,Spanish Islamic/Muslim
58,Old-norse
59,Czech
60,User Submitted Names
61,Welsh
62,Hindu
63,Unknown
64,Thai
65,Turkish
66,Spanish Christian
67,Japanese Christian
68,Russian
69,Hebrew
70,Scottish
71,Japanese
72,Islamic/Muslim
