id,origin
1,
2,me
3,Inde
4,no
5,Cornish
6,Scottish
7,Latin
8,Japan
9,Muslim
10,Lao
11,Sri lankan
12,zimbamwe
13,Kenya
14,Morocco
15,Kerala
16,Remian
17,English (Staffordshire)
18,Zapotec
19,Ching Chong
20,NiggerNiggerNiggerNiggerNiggerNiggerNiggerNiggerNiggerNiggerNiggerNiggerNiggerNigger
21,Berber/Moorish
22,The Hood
23,mayan
24,american
25,From the holy spirit
26,Italian
27,12-12-2022
28,Somali
29,Hebrew/US
30,Tamil
31,Bohemian
32,Lithuanian
33,srilankan
34,Korea
35,hindu
36,Bulgaria
37,Aboriginal
38,Bangla
39,Indian
40,Canadian
41,ngoni
42,Asia
43,tamil
44,Spanish
45,Made up
46,Persia
47,Brasil
48,Latim
49,egyptian
50,Maori
51,A combination of Christopher and Evelyn. By a Ghanaian Father.
52,Truth
53,"Hindu,"
54,Italy
55,9999999999999
56,wales
57,Thai
58,Nigerian
59,Okene
60,Iran
61,França
62,Boy
63,English
64,bangla
65,korean
66,Ovi
67,Vietnamese
68,Nigger langu
69,Hispanic
70,Poland
71,Dummy
72,Unknown
73,Swahili
74,Republic of Hermetia
75,Jahseh onfory
76,busan
77,Sanskrit
78,Fictional
79,German
80,Turkish
81,Vikha Krishna
82,American
83,Nandeswari
84,china
85,Republic of Autisme
86,Tamil nadu
87,Chinese
88,Yoruba
89,The Anxious
90,Islamic
91,Derived from handsome babies that become god
92,அ
93,Australia ireland
94,Nigeria
95,Buddh / sc
96,Philippines
97,california
98,Confusing
99,Haitan
100,jaindis
101,2
102,PuertoRico
103,English- form of becky
104,Shit Parenting
105,punjabi
106,Madhujya
107,Wet place in ya short
108,Romanian
109,Telugu
110,Sri Lankan
111,Eritrea
112,Global
113,Persian
114,On the farm
115,Bosnia and Herzegovina
116,Thamizhiniyan
117,Athidevu
118,Urdu
119,telugu
120,Punjabi
121,Assyrian
122,"Tiv, Nigeria"
123,india
124,Balkan
125,Sinhala
126,asian
127,selam
128,Kannada
129,African
130,Girl
131,Azeri
132,nigeria
133,South African
134,Yoruba (Nigeria)
135,Dutch
136,Indian (Sanskrith)
137,Korean
138,pelvis
139,Rwanda
140,Greek
141,Gouse basha
142,Greece
143,LOVE GODESS
144,Hindu
145,stomach
146,"Welsh, Irish, French"
147,4
148,Japanese
149,Sinhalese
150,Sri lanka
151,Nepal
152,ಕನ್ನಡ
153,"Sri Lanka, Sinhalese"
154,Arabic
155,Lesotho
156,Frisian
157,canada
158,1english
159,Cameroonian
160,Hebrew
161,Saudi Arabian
162,1telugu
163,Yuga shri
164,Australians duh
165,"India ,"
166,"Igala, Kogi"
167,Rape
168,India
169,Xhosa
170,Zulu
171,Bad hockey player
172,India/Sanskrit
173,V.jasviga
174,srilanka
175,Purépecha
176,Sri Lanka
177,Irish
178,Ukrainian
179,Johann Zahn
180,indian
181,Australian
182,UrAnus
183,Zimbabwe
184,You
185,Scotland
186,Africa
187,Republic of Kekistan
188,Norwegian
189,Turkey
190,Your beautiful face :)
191,My daughter Fararah
192,Graveyard
193,Rylan land
194,ENGLISH
195,Sheep-barn
196,Hindi
197,malayalam
198,Nepali
199,keltisch
200,india puliyambedu chennai tamilnadu
201,F
202,Jain
203,Vietnam
204,"Argentina, Russia, Africa"
205,"Onekotan, Kuril Islands"
206,Grecque
207,Russian
208,"Cockermouth, Cumbria"
209,chaileen carly claire chance and carrington also charles
210,Gaelic
211,Jupiter
212,British
213,Old English
214,greek
215,Türk
216,Boti
217,Brownsville Texas
218,sri lankan
219,Hungary
220,Afrikanische
221,nirmal+susmita
222,The Depressed
