id,name
1,African
2,African Christian
3,Arabic
4,Arabic Christian
5,Aramaic
6,Australian Vietnamese
7,Chinese
8,Christian
9,Christian Celtic
10,Christian Gaelic
11,Christian Latin
12,Christian Native American
13,Christian Old-norse
14,Czech
15,Danish
16,Danish Christian
17,Danish Islamic/Muslim
18,Dutch
19,Dutch Christian
20,Egyptian
21,English
22,English Christian
23,Finnish
24,French
25,French British English Russian Australian Christian
26,French Christian
27,Gaelic
28,Greek
29,Greek Christian
30,Greek Islamic/Muslim
31,Hawaiian
32,Hebrew
33,Hebrew Christian
34,Hindu
35,Indian
36,Indian African Chinese Korean Hindu Tamil Telugu Kannada
37,Indian Chinese Australian Islamic/Muslim Telugu
38,Indian Hindu Tamil Goddess Radha
39,Irish
40,Islamic/Muslim
41,Italian
42,Italian Christian
43,Japanese
44,Japanese Christian
45,Korean
46,Korean Christian
47,Latin
48,Native American
49,Norwegian
50,Old-norse
51,Persian
52,Polish
53,Russian
54,Sanskrit
55,Scottish
56,Slavic
57,Spanish
58,Spanish Christian
59,Spanish Islamic/Muslim
60,Swedish
61,Swedish Christian
62,Thai
63,Turkish
64,UGC
65,Unique
66,Vietnamese
67,Vietnamese Christian
68,Welsh
69,Welsh Christian
