name_id,origin_id
242017,263
306127,380
137032,383
63486,816
164974,113
238709,333
111502,263
18171,328
269736,887
296314,226
90185,859
262731,313
322664,115
323013,269
81088,875
183362,327
308384,796
199883,310
338076,199
72228,50
118066,313
55268,397
215352,928
129402,888
132069,263
85171,20
265706,972
270126,291
283481,20
43999,263
286593,11
62758,235
244366,618
89339,249
63343,888
248533,245
31109,304
262538,268
290451,758
9001,401
55754,263
88180,263
166295,403
170376,256
264056,345
22756,1003
22379,299
212475,403
307084,955
307616,816
178025,905
24756,824
52268,970
94744,313
116375,816
140924,313
173787,314
200036,875
197997,345
247429,343
267071,403
277582,895
307057,263
120898,263
208733,366
209129,366
31429,817
263564,263
217194,139
207524,263
152951,432
164938,28
69386,835
318160,263
84702,457
18446,667
273342,581
297640,459
171224,888
257609,856
141465,263
290165,902
164031,263
306317,796
339402,432
95402,821
327359,904
223870,403
112738,199
303579,457
97576,263
120955,366
225712,796
157990,338
334010,199
338984,858
110839,403
2312,948
335713,56
333445,952
13100,28
58542,291
57045,310
155028,291
143471,279
275212,736
16315,898
339019,263
197712,310
210408,403
9856,268
193448,750
105160,113
133453,70
144303,28
143907,28
194451,196
326627,581
337047,955
273939,813
101326,137
26663,56
173655,494
309071,116
169725,56
328392,535
19716,618
27498,857
69141,199
16362,313
25901,672
25063,327
212213,887
65312,567
323245,887
322849,887
113770,359
173615,314
195246,817
271120,293
23515,758
231221,809
1844,856
104397,477
92969,313
155056,403
167048,343
203209,313
94245,857
74942,263
9467,284
115535,313
141203,397
258050,898
319939,249
328244,263
231267,403
152036,351
86556,28
84407,84
106382,397
158450,457
213911,750
226566,842
148861,11
330392,736
332172,251
74031,756
200493,672
211819,559
239446,463
269635,672
276429,245
153303,28
207365,875
11600,75
155287,127
105865,817
38981,704
113055,390
318001,875
204534,345
100140,933
94202,756
255232,199
193890,263
163219,310
175915,403
73000,366
304085,520
33289,933
57439,159
133529,199
196762,43
332235,199
41464,120
305696,788
74989,28
168681,908
286213,758
97659,408
294026,310
322601,153
16284,756
28882,314
210146,887
148398,263
228413,397
217329,43
233022,369
323540,380
337244,263
81943,263
228620,875
72083,263
200209,108
216950,397
18043,895
186284,788
335492,140
101162,405
286070,830
337393,736
209506,153
4128,11
321116,359
70480,263
106555,459
78298,159
43752,199
333405,293
239814,993
57898,457
91540,196
228862,758
218401,383
100189,20
52603,157
59017,263
323942,895
242428,707
230943,9
319322,764
249272,397
333766,457
300860,786
6175,28
56925,72
116811,28
130619,291
277772,832
109961,523
284088,403
310972,226
146559,494
207529,70
200903,273
64422,327
199843,293
329772,199
329376,199
13969,277
221716,329
69247,863
73318,28
244866,380
324234,895
160184,269
37063,396
272625,403
11879,159
200478,282
49845,263
123528,293
267215,345
283992,291
55240,390
314611,84
10016,20
6719,249
29429,28
26941,618
106901,291
287007,349
948,20
47450,263
26311,222
310094,832
200531,293
336088,120
339658,989
165589,333
23698,329
242087,390
322940,869
78529,226
209960,457
48243,84
236456,895
91792,366
272917,403
189073,637
21262,328
207965,199
296540,112
142307,513
150480,408
40618,933
136965,397
122125,704
102734,263
286238,898
322339,63
184803,481
30748,245
338772,199
1092,499
282748,732
7814,758
28031,783
130057,887
182500,70
1826,494
52433,230
41581,199
152613,199
249099,199
305735,230
24915,269
251867,380
266363,263
262378,872
321772,366
186786,328
327309,199
308473,269
330473,380
195924,343
269561,28
166180,750
301195,28
89272,263
210156,345
276816,750
199512,263
235983,459
76391,390
289639,618
297366,396
322792,166
171862,183
175323,328
58181,633
203267,131
284748,933
331315,817
198165,226
118585,20
311764,875
9225,564
312160,875
94281,327
129687,199
308313,637
191804,131
237538,14
76594,345
63232,199
336371,727
154804,345
322214,310
268649,269
334910,403
102851,43
230113,574
314247,291
338951,857
285427,817
13504,28
69400,249
268455,403
293446,245
146550,269
261939,20
280624,979
312248,291
230395,637
137702,235
145885,818
337101,199
259417,245
178782,403
141163,380
178386,403
179222,675
4900,327
31789,494
203903,291
89392,314
85787,390
177039,366
73643,56
274544,345
319544,263
201378,245
204449,235
67228,479
277031,284
62121,230
74915,858
63342,313
304045,153
326108,313
309456,813
250,704
311696,875
309886,397
198229,345
29754,56
317618,519
187981,263
252091,380
42014,750
338861,159
234066,403
195702,226
318726,166
275617,156
110545,788
119731,817
62465,390
218012,263
233967,397
295842,796
323643,291
38466,579
167215,403
22900,28
249071,328
303863,297
142338,848
206696,313
109667,263
80751,327
5171,574
227548,297
297510,817
319516,443
298418,403
111283,875
316219,672
76034,263
158239,342
55283,304
98600,263
140649,293
149928,513
31325,494
243071,397
325208,564
334638,199
319476,263
54253,166
1433,279
47307,199
91252,481
160808,313
276494,28
63779,263
327598,570
315779,750
162992,443
203195,338
313750,908
50726,872
338634,129
60186,349
33417,284
142930,736
289146,199
145519,952
327461,457
334940,887
87940,28
313493,693
31525,905
70360,667
100508,875
276569,737
10909,639
16074,112
181999,113
294057,509
20740,618
29618,494
149218,888
246718,523
25691,327
145608,620
300666,302
60398,390
337629,960
321724,943
26127,857
118869,397
61608,314
147597,282
233247,784
171807,313
317827,618
158975,359
179002,230
277739,481
309733,824
293776,617
298776,245
198690,665
328872,263
24287,887
339028,756
100992,291
330277,655
129376,366
167292,353
277152,886
88634,193
157479,199
82037,380
271021,314
83745,581
77766,403
163791,28
109923,178
11886,338
14517,56
46172,933
68429,178
325130,226
337914,166
181307,313
319025,875
262814,84
316819,397
176957,235
290854,349
152956,351
87476,28
294838,269
200067,887
157245,153
280467,832
61770,618
334858,457
96429,263
297137,157
303947,263
199780,830
332467,199
19439,875
106879,479
297097,758
39948,520
76013,28
130075,875
310020,830
324648,832
325044,832
33088,327
158110,796
38000,108
22840,245
37604,108
293297,366
84966,263
318957,532
157956,329
272541,63
33827,666
145385,682
93656,88
102271,328
260058,263
324265,313
162685,403
228595,310
9146,269
116802,397
82571,263
146647,796
247075,113
254945,199
78302,359
272792,813
243246,481
268609,683
30146,905
277511,199
84583,875
22747,404
338326,618
24548,796
4756,11
308038,403
83362,11
310803,313
201880,858
201042,513
58623,390
66837,286
254818,774
19058,28
233319,390
140819,383
188491,20
261510,70
239538,28
153413,199
153017,199
257955,263
279250,63
243538,481
313135,314
319422,645
301712,494
65869,245
2342,708
1946,708
204855,736
195703,291
241893,979
117363,972
332395,457
148987,284
64266,245
315050,993
323202,11
336567,428
23099,832
125996,263
324079,284
114867,166
99710,574
71458,618
201332,63
185735,199
233331,750
141657,327
214960,890
303525,115
286907,199
146613,380
11040,20
315251,875
279072,299
77483,390
34374,380
95101,952
225371,397
143549,56
143153,56
144390,672
59221,443
82246,48
304549,788
267756,349
276751,56
336350,736
2689,11
318932,205
13671,88
314374,952
15665,875
4488,330
36518,330
136263,371
333867,889
178747,329
690,11
294049,835
195864,343
208211,282
269897,28
108557,359
246028,263
168781,310
44595,113
279761,120
101363,263
109926,313
324234,521
337797,199
134721,997
312960,43
127523,28
211621,88
131072,20
223040,166
211180,345
131954,637
233597,1003
32639,180
14852,371
168110,263
326334,199
32845,56
96520,245
282256,327
85441,235
16012,178
319638,380
118830,282
24229,345
72739,327
12085,11
67202,494
136042,156
199717,345
48308,859
225331,166
185959,199
200537,84
312788,875
54524,226
10680,750
233838,284
299313,263
15597,875
219113,349
311040,494
169681,351
150039,291
319254,390
123065,952
244379,618
272235,574
261156,564
321089,366
170451,3
206526,199
274146,380
130063,328
287850,263
319880,263
338829,359
337144,327
114770,875
16613,933
221492,196
333539,403
13650,284
78729,263
161371,343
111939,345
314767,199
24293,895
321926,459
335646,875
230882,432
133325,263
19566,113
169980,768
337729,199
112375,875
225590,403
248718,887
914,11
22946,858
128608,199
67266,263
43054,159
131722,263
69984,327
245577,875
331212,345
84175,328
162341,56
329314,20
98762,329
8978,313
225252,758
132742,63
84719,199
313168,291
55407,263
320728,895
308467,730
338021,199
308329,796
95117,225
321462,890
325199,933
95948,153
145867,269
1213,428
146023,28
19927,627
284801,570
267784,383
64698,493
9622,11
75974,263
199587,598
237801,50
173529,359
265067,921
138238,245
332193,567
265216,263
101204,875
264820,263
304720,349
209939,279
326162,199
61207,856
41945,263
273338,570
129114,313
194630,293
206925,42
165712,284
275952,284
158805,245
82874,235
86004,832
205766,56
126719,313
74766,11
263411,479
108692,263
107293,817
218117,868
39628,893
281076,887
126002,672
200033,284
110830,48
227352,35
227049,226
323114,758
223845,646
49740,333
32773,263
96833,263
308579,166
74290,432
207469,263
196442,443
325051,230
120607,895
333793,245
270959,672
246515,245
274154,166
203101,353
117645,848
321125,665
323448,230
5353,56
236925,328
268960,672
292542,380
164543,310
256506,112
167564,183
240914,592
309415,788
101136,875
138703,708
97521,263
99578,618
248750,313
272217,263
18542,432
83616,67
251914,494
281176,313
181425,457
231292,383
168945,928
276016,403
24716,327
38071,56
127711,293
292972,314
95149,432
159603,359
139961,299
181573,328
114345,405
283995,432
41528,459
194396,196
162131,299
115777,708
264168,592
264204,249
273884,813
505,44
41773,263
195083,345
205630,494
208610,366
184835,263
184439,263
178334,912
233733,327
261646,817
230920,403
327501,263
6244,11
312380,328
336248,622
309130,403
322927,477
206611,366
260924,832
59622,199
11728,183
270046,314
19754,28
11063,732
230444,824
324155,226
190676,857
307628,428
318120,116
325897,11
30323,875
81496,56
254885,199
52184,120
226019,380
262318,284
262846,403
266893,672
325998,817
135857,970
110616,199
16072,796
150485,972
239529,397
223588,723
274195,459
166759,297
10553,788
16074,88
99438,183
140747,403
29978,813
319048,327
75038,28
21571,522
83343,42
153248,28
94239,345
289598,457
222621,153
38926,704
146002,523
216339,166
213534,857
255177,199
212161,380
13104,153
137118,832
179506,328
172697,824
115431,397
49170,263
266406,153
315270,633
5780,11
320583,758
133474,199
16337,848
24603,934
71736,263
203907,304
269423,284
326596,520
279533,432
190586,159
136054,329
48351,345
19686,28
56472,50
3781,11
7086,397
67466,888
118118,397
117722,397
210091,887
304643,905
89678,390
23078,790
44733,933
44337,933
318240,167
302116,786
325177,48
118359,459
179026,226
206137,28
225206,226
29888,115
163957,481
195417,890
139653,788
215537,952
253154,902
299721,786
309769,56
54778,282
122303,199
45025,933
249997,387
329425,199
17583,28
323492,366
47056,67
267117,672
170085,351
315668,655
11730,898
11668,20
56102,493
43846,672
283057,875
315483,875
39135,423
81528,263
33541,56
64790,245
65186,245
333315,457
333711,457
207456,245
331716,199
295067,640
330788,338
310143,832
137134,156
325394,813
32378,328
277563,365
141407,933
198332,313
329717,199
339777,230
84388,383
150735,291
192555,269
284091,758
283695,758
7316,993
109241,291
108845,291
81820,263
107969,620
123337,432
193237,74
225895,397
170050,895
107242,291
97536,758
3804,479
262740,245
45619,113
315331,80
197184,866
90097,858
276297,108
114590,423
229891,327
233726,905
256384,494
63353,291
2006,11
177692,750
188318,226
311647,48
67962,263
290117,351
167048,668
142257,857
163873,328
241460,349
211716,756
256401,848
102778,269
311800,263
226344,758
299945,786
319521,226
164807,354
313416,875
108074,390
147840,284
321,329
218710,390
335284,567
60694,403
51019,183
66358,11
53250,159
75173,282
245935,479
284677,50
153779,282
130009,523
277772,84
193926,245
279967,403
106932,758
208523,934
236030,736
268091,49
307427,359
339457,359
207205,918
335623,383
289212,258
31766,56
322737,166
223828,397
255858,397
143243,672
