id,origin
1,Slavic
2,Arabic
3,Japanese
4,African
5,Hebrew
6,Sanskrit
7,English
8,Latin
9,French
10,Ancient Greek
11,Afrikanische
12,American
13,Tamil
14,Persian
15,Scandinavian
16,Indian
17,African American
18,Hawaiian
19,Greek
20,Germanic
21,Hindi
22,Yoruba
23,Spanish
24,Old English
25,Norse
26,Somali
27,Aramaic
28,Kerala
29,Armenian
30,Norwegian
31,Berber
32,Moorish
33,Modern
34,German
35,British
36,Bulgarian
37,sri lankan
38,Celtic
39,Hungarian
40,Slovak
41,Czech
42,Igbo
43,Scotland
44,Russian
45,Chinese
46,Irish
47,Gaelic
48,Christian
49,california
50,Catalan
51,Portuguese
52,Maori
53,Vietnamese
54,Korean
55,Cornish
56,Welsh
57,Okene
58,Danish
59,Cuban
60,Yiddish
61,Hindu
62,Indonesian
63,Dutch
64,Lithuanian
65,Italian
66,Georgian
67,Swedish
68,Albanian
69,Punjabi
70,Igala
71,Kogi
72,N/A
73,Latim
74,Swahili
75,Bengali
76,Kazakh
77,Asian
78,Hausa
79,Basque
80,Thai
81,Bosnian
82,Polynesian
83,Ancient Egyptian
84,Nordic
85,Tongan
86,Akan
87,Old German
88,Old Norse
89,Serbian
90,Latvian
91,Turkic
92,Old French
93,Ethiopian
94,Amharic
95,Scottish
96,Estonian
97,Romanian
98,Laotian
99,Roman
100,Mongolian
101,Nahuatl
102,Nepalese
103,Korea
104,Icelandic
105,Old Hungarian
106,None
107,tamil
108,korean
109,Nepali
110,Breton
111,Egyptian
112,Sri Lankan
113,Navajo
114,Greece
115,Athidevu
116,Australians duh
117,Tigrinya
118,Eritrean
119,Zulu
120,US
121,Tiv
122,Nigeria
123,Haitian
124,Provencal
125,Aztec
126,Nigerian
127,Croatian
128,Nepal
129,Urdu
130,Italian and Latin
131,Sri lanka
132,Not applicable
133,Slovenian
134,UrAnus
135,Khmer
136,Old High German
137,1telugu
138,Buddhist
139,srilankan
140,wales
141,Johann Zahn
142,Cameroonian
143,Greek mythology
144,Biblical
145,Tupi-Guarani
146,Filipino
147,Anglo-Saxon
148,ENGLISH
149,Sinhalese
150,Algonquian
151,Cambodian
152,Sioux
153,Telugu
154,Unsure
155,Hmong
156,Philippines
157,Brownsville Texas
158,Unavailable
159,Cumbria
160,Cockermouth
161,Cherokee
162,Australia ireland
163,Phrygian
164,Kannada
165,Lao
166,Illyrian
167,Ukrainian
168,Rape
169,Tibetan
170,india
171,Eritrea
172,United States
173,Sri Lanka
174,Belgian
175,India
176,Uzbek
177,Tamil nadu
178,Balkan
179,egyptian
180,Māori
181,greek
182,Sheep-barn
183,Purépecha
184,bangla
185,Morocco
186,Canadian
187,Shona
188,stomach
189,Muslim
190,Jupiter
191,Fictional
192,Indo-European
193,Sri lankan
194,Hungary
195,Teutonic
196,china
197,none
198,Gouse basha
199,Middle Eastern
200,telugu
201,Taino
202,indian
203,Tahitian
204,hindu
205,Japan
206,Bohemian
207,Burmese
208,Ching Chong
209,Quechua
210,Confusing
211,Poland
212,Bangladeshi
213,Global
214,Rwanda
215,Mayan
216,mayan
217,Mixed
218,Invented name
219,Jamaican
220,canada
221,Invention
222,Saudi Arabian
223,Slovene
224,Afrikaans
225,Phoenician
226,Various
227,Montenegrin
228,busan
229,Malian
230,Finnish
231,European
232,Setswana
233,selam
234,Tswana
235,american
236,Ghana
237,Kikuyu
238,Africa
239,Jain
240,Pashto
241,Kenyan
242,Australian
243,Old Irish
244,West African
245,Greenlandic
246,Dummy
247,Coptic
248,Ovi
249,Romansh
250,Galician
251,ngoni
252,Bosnia and Herzegovina
253,Frisian
254,Ancient American
255,Gaulish
256,Jewish
257,Polish
258,Xhosa
259,Kenya
260,Russia
261,Argentina
262,Modern American
263,and Latin
264,Hebrew and Spanish
265,Grecque
266,França
267,Hispanic
268,Madhujya
269,Italy
270,Afghan
271,Scots
272,Kinyarwanda
273,Brasil
274,and German
275,Inde
276,Not found
277,Turkey
278,Belarusian
279,Ghanaian
280,Samoan
281,Nandeswari
282,Azerbaijani
283,Invented Name
284,Not provided
285,Nigger langu
286,Sumerian
287,nirmal+susmita
288,Rylan land
289,Türk
290,nigeria
291,Brazilian
292,Irish and English
293,Irish and Hebrew
294,Irish Gaelic
295,Assyrian
296,Remian
297,modern American
298,America
299,Islamic
300,Tagalog
301,jaindis
302,keltisch
303,Kurdish
304,West Germanic
305,Kuril Islands
306,Onekotan
307,Sikh
308,Lesotho
309,Middle English
310,Native American
311,Sinhala
312,malayalam
313,Unkown
314,Romani
315,Old Celtic
316,PuertoRico
317,Old Swedish
318,pelvis
319,Presumably English
320,Chinook
321,Bangla
322,Persia
323,Iranian
324,Laos
325,Invented
326,Turkmen
327,Inuit
328,zimbamwe
329,Scottish Gaelic
330,Gaeilge
331,asian
332,Shit Parenting
333,Malagasy
334,Fijian
335,Ojibwe
336,Swiss
337,Swiss-German
338,Turkish
