name,gender,meanings,origin
Abaryté,Unknown,Unknown,Unknown
Aanoëns,,,
Abaño,m,Unknown,Unknown
Aarón,m,"exalted, mountain of strength",Hebrew
Aazbiyşin,,Unknown,Unknown
Abaño,m,Unknown,Unknown
Aazbiyşin,,,
Aanoëns,Unknown,Unknown,Unknown
Abaryté,,Unknown,Unknown
Aarón,m,mountain of strength,Hebrew
Abellán,m,Unknown,Unknown
Abigaïl,f,"Father's joy, source of joy",Hebrew
Abeŕham,m,"Father of many, Nation's father",Hebrew
Abolió,Unknown,Unknown,Unknown
Abialaxxx,,,
Abigaël,f,"Father's joy, Joy of the father",Hebrew
Abré,m,"Strong, Powerful, Brave",French
Abéa,Unknown,Unknown,Unknown
Aceña,Unknown,Unknown,Unknown
Achaudé,Unknown,Unknown,Unknown
Aciél,m,Unknown,Unknown
Adalíe,f,"Noble, Of the nobility",Germanic
Adandé,m,Unknown,Unknown
Adaìre,m,"Noble, wealth, prosperous",Irish
Adelfí,f,"Beloved, dear friend",Greek
Adansé,m,Unknown,Unknown
Adelé,f,"Noble, nobility",Germanic
Además,,"Moreover, Besides",Spanish
Adherí,Unknown,Unknown,Unknown
Admití,,Unknown,Unknown
Adleé,f,"Noble, Kind",French
Adontè,m,Unknown,Unknown
Adidași,f,There is no specific meaning associated with the name Adidași,"Romanian, derived from the word 'adidași' which means 'sneakers'"
Adoración,f,"adoration, worship",Spanish
Adrián,m,"dark, rich, from the Adriatic Sea",Latin
Adrià,m,"From the Adriatic Sea, Dark, Rich, Powerful",Latin
Adriático,m,"Adriatic, relating to the Adriatic Sea","Italian, Latin"
Adrião,m,"From Hadria, Dark, Rich",Latin
Adriëlle,f,"Noble, Majestic",Latin
Adãe,m,Uncertain,Portuguese
Adèle,f,"Noble, Kind, Good humor",French
Adél,f,"Noble, Of noble kind, From the noble family","Hungarian, German"
Advém,Unknown,Unknown,Unknown
Adúlela,f,Unknown,Unknown
Aedín,f,"Fire, little fire",Irish
Adéla,f,"Noble, Kind, Honorable","Czech, Slovak"
Aelİus,m,Unknown,Latin
Aelın,f,"Noble, Bright, Shining, Sunray",Turkish
